GeneID	MeanExpLev	Period	Phase	Beta	pMMC-Beta
HanXRQChr04g0126671	3.3736E+00	2.3000E+01	5.5200E+00	3.0424E+00	1.0495E-03
HanXRQChr15g0491981	1.5178E+00	2.5000E+01	7.5000E-01	5.9072E-01	1.0509E-03
HanXRQChr08g0236251	7.9715E+01	2.3000E+01	-1.8400E+00	2.0444E+01	1.0509E-03
HanXRQChr10g0296711	2.0336E+01	2.3100E+01	-1.1088E+01	5.7318E+00	1.0509E-03
HanXRQChr01g0026161	2.4245E+00	2.2700E+01	1.1350E+00	4.8368E-01	1.0523E-03
HanXRQChr14g0462581	4.9953E+01	2.5900E+01	-1.1396E+01	1.6407E+01	1.0523E-03
HanXRQChr17g0545411	3.5961E+00	2.6000E+01	-9.8800E+00	1.5011E+00	1.0523E-03
HanXRQChr08g0210511	5.0945E-02	2.4200E+01	1.0648E+01	8.4039E-02	1.0523E-03
HanXRQChr16g0498641	1.2284E+01	2.4600E+01	7.1340E+00	1.8563E+00	1.0523E-03
HanXRQChr16g0512711	4.9002E-01	2.4900E+01	1.0707E+01	2.3451E-01	1.0523E-03
HanXRQChr17g0535021	1.7340E+01	2.2700E+01	-8.3990E+00	1.2812E+01	1.0523E-03
HanXRQChr11g0353571	3.0432E+01	2.3800E+01	-9.7580E+00	1.1073E+01	1.0538E-03
HanXRQChr06g0170261	1.0142E-01	2.4400E+01	2.4400E+00	9.3663E-02	1.0538E-03
HanXRQChr17g0540391	6.7489E+01	2.5200E+01	7.5600E-01	9.6711E+00	1.0538E-03
HanXRQChr17g0539191	1.0263E+01	2.4800E+01	-1.2152E+01	1.9456E+00	1.0552E-03
HanXRQChr13g0417471	1.8247E+00	2.3500E+01	9.6350E+00	3.8135E-01	1.0552E-03
HanXRQChr08g0223581	4.4913E+01	2.5900E+01	-1.1396E+01	4.9755E+00	1.0552E-03
HanXRQChr03g0060601	3.5479E+00	2.5300E+01	-9.8670E+00	8.4184E-01	1.0552E-03
HanXRQChr10g0287471	1.5245E+00	2.3900E+01	-9.0820E+00	1.4717E+00	1.0552E-03
HanXRQChr15g0496191	2.0267E+00	2.5800E+01	3.8700E+00	4.3596E-01	1.0552E-03
HanXRQChr02g0036591	1.5676E+01	2.5100E+01	-8.5340E+00	2.8959E+00	1.0552E-03
HanXRQChr11g0334411	1.9604E+01	2.3900E+01	6.6920E+00	2.2023E+00	1.0552E-03
HanXRQChr09g0270211	1.2536E+01	2.2800E+01	-6.1560E+00	8.8116E+00	1.0552E-03
HanXRQChr09g0266171	2.2359E+00	2.3400E+01	4.6800E-01	6.5410E-01	1.0552E-03
HanXRQChr16g0508331	6.5290E+01	2.2400E+01	-2.2400E-01	1.1626E+01	1.0552E-03
HanXRQChr15g0487221	4.2987E+00	2.6300E+01	-7.3640E+00	1.6078E+00	1.0552E-03
HanXRQChr05g0133601	9.9598E-02	2.1500E+01	1.7200E+00	8.4682E-02	1.0566E-03
HanXRQChr01g0026811	5.0828E+00	2.2100E+01	5.9670E+00	1.5905E+00	1.0566E-03
HanXRQChr06g0175461	2.4153E+01	2.3100E+01	-5.7750E+00	7.8185E+00	1.0566E-03
HanXRQChr16g0503651	2.3352E+01	2.4100E+01	6.0250E+00	3.4543E+00	1.0566E-03
HanXRQChr07g0186011	1.5165E-01	2.3800E+01	4.5220E+00	1.1135E-01	1.0580E-03
HanXRQChr17g0538171	4.1657E+01	2.3300E+01	7.4560E+00	6.9697E+00	1.0580E-03
HanXRQChr02g0032651	2.1625E+00	2.3800E+01	8.5680E+00	5.9684E-01	1.0580E-03
HanXRQChr12g0365381	4.0100E+01	2.4700E+01	-1.1856E+01	6.9877E+00	1.0580E-03
HanXRQChr11g0335531	9.1567E+00	2.4600E+01	1.1808E+01	2.4565E+00	1.0580E-03
HanXRQChr05g0157241	2.0853E+01	2.5400E+01	-1.0668E+01	2.9458E+00	1.0580E-03
HanXRQChr13g0423391	8.8051E+01	2.5100E+01	-9.5380E+00	1.0553E+01	1.0580E-03
HanXRQChr03g0073441	2.0172E+01	2.4800E+01	1.4880E+00	3.5571E+00	1.0580E-03
HanXRQChr17g0543111	2.7259E+01	2.4600E+01	-1.7220E+00	2.6308E+01	1.0580E-03
HanXRQChr14g0446591	9.5585E+00	2.3200E+01	-7.8880E+00	1.9607E+00	1.0580E-03
HanXRQChr16g0512331	4.7177E+01	2.6600E+01	-1.3034E+01	5.7444E+00	1.0580E-03
HanXRQChr04g0126501	5.9830E-01	2.3000E+01	-1.0810E+01	7.1360E-01	1.0580E-03
HanXRQChr15g0488651	2.4573E+01	2.3400E+01	5.1480E+00	1.6522E+01	1.0580E-03
HanXRQChr09g0264481	7.9807E+00	2.5400E+01	7.6200E+00	1.1319E+00	1.0595E-03
HanXRQChr05g0162571	6.8159E+00	2.5000E+01	-1.0500E+01	1.4543E+00	1.0595E-03
HanXRQChr01g0000841	3.6712E+01	2.1700E+01	6.9440E+00	4.5482E+00	1.0609E-03
HanXRQChr13g0406681	1.1014E+00	2.7500E+01	1.3750E+01	2.9742E-01	1.0609E-03
HanXRQChr12g0377131	3.0973E+01	2.5800E+01	-1.1352E+01	3.1811E+00	1.0609E-03
HanXRQChr10g0304891	4.1290E+00	2.3000E+01	4.3700E+00	1.0640E+00	1.0609E-03
HanXRQChr14g0458681	4.3696E+00	2.3900E+01	2.6290E+00	7.3752E-01	1.0609E-03
HanXRQChr03g0084861	3.4507E+01	2.6200E+01	-9.9560E+00	4.5820E+00	1.0609E-03
HanXRQChr03g0076031	1.3271E+00	2.3600E+01	5.1920E+00	3.1367E-01	1.0609E-03
HanXRQChr09g0237961	2.3819E+01	2.7300E+01	1.2558E+01	3.4052E+00	1.0609E-03
HanXRQChr15g0497291	3.8203E+00	2.3800E+01	5.7120E+00	8.5085E-01	1.0609E-03
HanXRQChr15g0494691	2.3597E+01	2.4000E+01	8.6400E+00	3.0363E+00	1.0623E-03
HanXRQChr10g0311131	2.2361E+01	2.2500E+01	2.7000E+00	9.5755E+00	1.0623E-03
HanXRQChr08g0233801	1.4509E+00	2.4300E+01	-8.9910E+00	9.5259E-01	1.0623E-03
HanXRQChr09g0269981	1.3978E+00	2.4600E+01	-1.2054E+01	5.8509E-01	1.0623E-03
HanXRQChr15g0486081	5.5450E-01	2.3200E+01	3.0160E+00	2.6938E-01	1.0638E-03
HanXRQChr04g0116351	2.7399E+00	2.4200E+01	1.1858E+01	6.1059E-01	1.0638E-03
HanXRQChr15g0479141	7.8979E+01	2.3200E+01	-1.6240E+00	9.8206E+00	1.0638E-03
HanXRQChr04g0114961	7.3139E+00	2.4500E+01	-9.8000E+00	1.4205E+00	1.0638E-03
HanXRQChr13g0393651	3.0695E+00	2.4600E+01	-1.1562E+01	1.1557E+00	1.0638E-03
HanXRQChr13g0387271	2.0908E+00	2.3400E+01	1.8720E+00	8.3392E-01	1.0638E-03
HanXRQChr13g0408851	2.4666E+01	2.5700E+01	-1.0537E+01	4.2214E+00	1.0638E-03
HanXRQChr04g0104231	1.5157E+01	2.3600E+01	2.1240E+00	3.1913E+00	1.0638E-03
HanXRQChr16g0510241	4.9724E+01	2.3900E+01	-9.3210E+00	1.1852E+01	1.0638E-03
HanXRQChr17g0535071	5.0554E+00	2.2700E+01	-7.7180E+00	3.3706E+00	1.0638E-03
HanXRQChr03g0092631	3.5924E+02	2.2800E+01	-2.7360E+00	7.8115E+01	1.0652E-03
HanXRQChr08g0220051	3.5347E+00	2.5200E+01	1.7640E+00	1.3488E+00	1.0652E-03
HanXRQChr10g0315091	1.1795E-01	2.4500E+01	6.3700E+00	7.0849E-02	1.0652E-03
HanXRQChr15g0486781	4.8357E+00	2.7700E+01	2.2160E+00	8.3427E-01	1.0666E-03
HanXRQChr01g0011601	2.0390E+01	2.4600E+01	4.1820E+00	4.2852E+00	1.0666E-03
HanXRQChr04g0122931	1.3159E+00	2.1600E+01	-1.0368E+01	4.3780E-01	1.0666E-03
HanXRQChr08g0221171	3.9810E+01	2.2700E+01	2.7240E+00	3.9159E+00	1.0666E-03
HanXRQChr01g0015971	8.0938E+01	2.2700E+01	7.0370E+00	1.5716E+01	1.0666E-03
HanXRQChr09g0245241	3.7257E+01	2.2400E+01	-8.5120E+00	1.3740E+01	1.0666E-03
HanXRQChr15g0488991	2.3637E+00	2.4300E+01	-2.1870E+00	8.6922E-01	1.0666E-03
HanXRQChr04g0112581	1.1699E+00	2.4800E+01	-6.6960E+00	3.3442E-01	1.0680E-03
HanXRQChr16g0504951	1.6554E+01	2.4100E+01	-1.9280E+00	7.6369E+00	1.0680E-03
HanXRQChr15g0483421	6.8992E+00	2.4100E+01	-8.1940E+00	2.4680E+00	1.0680E-03
HanXRQChr15g0465081	9.1393E+01	2.6700E+01	6.1410E+00	4.3292E+01	1.0695E-03
HanXRQChr15g0497361	6.1324E+01	2.3500E+01	-4.7000E-01	1.6418E+01	1.0695E-03
HanXRQChr15g0484401	4.8894E+01	2.2600E+01	9.7180E+00	6.6001E+00	1.0695E-03
HanXRQChr11g0352261	2.0316E+00	2.3600E+01	4.7200E-01	8.5453E-01	1.0695E-03
HanXRQChr01g0018371	2.2142E+01	2.3100E+01	-1.3860E+00	8.2782E+00	1.0695E-03
HanXRQChr05g0161561	2.4905E+00	2.4500E+01	3.1850E+00	1.4578E+00	1.0695E-03
HanXRQChr10g0313901	2.5666E+00	2.4500E+01	6.6150E+00	5.0850E-01	1.0695E-03
HanXRQChr14g0459751	2.7976E-01	2.5600E+01	-9.9840E+00	2.3473E-01	1.0709E-03
HanXRQChr10g0277791	3.0765E+01	2.2100E+01	2.8730E+00	3.9921E+00	1.0709E-03
HanXRQChr04g0094861	4.0892E+00	2.3800E+01	4.7600E-01	2.2420E+00	1.0723E-03
HanXRQChr08g0222031	5.7559E+01	2.4500E+01	-1.0535E+01	2.4522E+01	1.0723E-03
HanXRQChr10g0280791	1.9183E+00	2.6100E+01	-1.1223E+01	6.2782E-01	1.0723E-03
HanXRQChr15g0467461	4.0915E-01	2.3200E+01	9.5120E+00	2.0530E-01	1.0723E-03
HanXRQChr02g0037681	1.5423E+00	2.3800E+01	9.9960E+00	4.2014E-01	1.0723E-03
HanXRQChr07g0199341	1.8713E+01	2.5100E+01	2.5100E-01	2.0272E+01	1.0723E-03
HanXRQChr08g0236231	2.7495E+01	2.6600E+01	-1.0108E+01	8.4140E+00	1.0723E-03
HanXRQChr17g0546301	3.0310E-01	2.2100E+01	-6.6300E-01	1.8938E-01	1.0723E-03
HanXRQChr09g0269451	1.0184E+02	2.5300E+01	4.8070E+00	2.2154E+01	1.0723E-03
HanXRQChr08g0225711	3.0759E+01	2.7600E+01	-4.9680E+00	3.7416E+00	1.0723E-03
HanXRQChr04g0100071	3.4517E+00	2.6900E+01	-9.1460E+00	7.7711E-01	1.0738E-03
HanXRQChr17g0542691	7.1693E+00	2.4900E+01	-6.7230E+00	3.8197E+00	1.0738E-03
HanXRQChr17g0560991	6.2933E+01	2.2600E+01	-6.7800E-01	2.4012E+01	1.0738E-03
HanXRQChr03g0073721	1.1262E+02	2.4600E+01	-1.0086E+01	2.1946E+01	1.0738E-03
HanXRQChr10g0283811	4.5602E+01	2.3100E+01	-6.9300E-01	9.8645E+00	1.0738E-03
HanXRQChr15g0470721	5.2728E+01	2.4400E+01	-1.4640E+00	5.0607E+01	1.0738E-03
HanXRQChr04g0102591	1.9410E+00	2.2700E+01	-7.7180E+00	5.0878E-01	1.0752E-03
HanXRQChr07g0202461	3.1860E+00	2.3000E+01	8.5100E+00	6.3076E-01	1.0752E-03
HanXRQChr11g0323231	2.1151E+00	2.4500E+01	-7.8400E+00	8.8985E-01	1.0752E-03
HanXRQChr05g0149581	6.1839E+01	2.4000E+01	6.4800E+00	2.0620E+01	1.0752E-03
HanXRQChr17g0554331	1.0113E+01	2.3400E+01	-8.8920E+00	1.8924E+00	1.0752E-03
HanXRQChr02g0040951	2.2650E+00	2.5200E+01	-8.5680E+00	9.9922E-01	1.0752E-03
HanXRQChr04g0109711	4.6584E+00	2.7800E+01	-1.0286E+01	8.6549E-01	1.0752E-03
HanXRQChr01g0029231	5.2400E-01	2.4000E+01	-1.0080E+01	1.9551E-01	1.0752E-03
HanXRQChr03g0062851	3.2684E+01	2.5600E+01	-9.2160E+00	5.7298E+00	1.0752E-03
HanXRQChr02g0054501	5.5747E+00	2.5000E+01	1.1000E+01	8.9046E-01	1.0752E-03
HanXRQChr02g0059581	2.1642E+02	2.1700E+01	-5.6420E+00	1.6746E+01	1.0752E-03
HanXRQChr16g0507781	2.2362E+00	2.3500E+01	1.1280E+01	5.7461E-01	1.0752E-03
HanXRQChr10g0318421	8.9711E+00	2.2100E+01	-3.5360E+00	3.9331E+00	1.0766E-03
HanXRQChr03g0085401	5.6235E-01	2.4800E+01	4.9600E-01	6.3424E-01	1.0766E-03
HanXRQChr04g0118031	1.3914E+01	2.4400E+01	9.7600E+00	2.1718E+00	1.0780E-03
HanXRQChr14g0435731	1.9596E+01	2.2800E+01	4.5600E+00	5.1398E+00	1.0780E-03
HanXRQChr13g0424271	1.8031E+01	2.4100E+01	7.9530E+00	2.3665E+00	1.0780E-03
HanXRQChr07g0200841	2.8663E+01	2.4700E+01	4.1990E+00	5.8812E+00	1.0780E-03
HanXRQChr09g0276691	1.1532E+01	2.7200E+01	5.7120E+00	6.6529E+00	1.0780E-03
HanXRQChr11g0325781	2.3734E+01	2.3600E+01	-3.0680E+00	8.4542E+00	1.0780E-03
HanXRQChr07g0190171	2.8782E+02	2.4600E+01	1.0824E+01	4.4643E+01	1.0780E-03
HanXRQChr03g0064451	5.5377E+02	2.3200E+01	6.2640E+00	8.2214E+01	1.0780E-03
HanXRQChr15g0489571	3.0786E+01	2.4400E+01	9.7600E-01	4.6790E+01	1.0780E-03
HanXRQChr07g0198691	3.0525E+00	2.1900E+01	-8.5410E+00	1.8218E+00	1.0780E-03
HanXRQChr12g0370201	5.9134E+02	2.3300E+01	1.3980E+00	6.1363E+01	1.0780E-03
HanXRQChr07g0205891	9.2468E+01	2.2600E+01	-5.1980E+00	4.4540E+01	1.0795E-03
HanXRQChr09g0255851	1.7523E+01	2.1800E+01	1.0682E+01	3.1714E+00	1.0795E-03
HanXRQChr17g0549271	2.1938E-01	2.4900E+01	-9.7110E+00	1.1512E-01	1.0795E-03
HanXRQChr15g0496931	1.0691E+00	2.2800E+01	1.3680E+00	3.4030E-01	1.0809E-03
HanXRQChr17g0568731	5.6500E+01	2.3600E+01	1.1564E+01	1.7384E+01	1.0809E-03
HanXRQChr01g0021261	7.4231E-01	2.4200E+01	1.4520E+00	3.1581E-01	1.0809E-03
HanXRQChr15g0490321	3.6202E-01	2.2900E+01	1.1450E+00	2.9416E-01	1.0809E-03
HanXRQChr04g0112991	3.6861E+01	2.3100E+01	3.0030E+00	7.4703E+00	1.0809E-03
HanXRQChr11g0352361	1.6421E+01	2.3200E+01	4.4080E+00	2.2581E+00	1.0809E-03
HanXRQChr01g0017481	2.1907E+02	2.2700E+01	-9.3070E+00	4.3563E+01	1.0809E-03
HanXRQChr02g0055991	1.4754E+01	2.4100E+01	-8.9170E+00	3.9285E+00	1.0809E-03
HanXRQChr07g0200671	1.1948E+01	2.3000E+01	1.1040E+01	3.7722E+00	1.0809E-03
HanXRQChr15g0485801	3.6831E+00	2.2800E+01	-9.8040E+00	1.0845E+00	1.0809E-03
HanXRQChr08g0217981	1.0549E+00	2.3000E+01	-9.4300E+00	7.6880E-01	1.0823E-03
HanXRQChr14g0441121	3.7928E+01	2.2300E+01	-4.4600E-01	9.7634E+00	1.0823E-03
HanXRQChr12g0382791	6.8884E+00	2.6300E+01	-9.9940E+00	9.3860E-01	1.0838E-03
HanXRQChr06g0169371	3.9839E+01	2.2600E+01	1.0848E+01	9.5538E+00	1.0838E-03
